Id,Product,Cpu,Ram,Price,TypeName,Inches,ScreenResolution,Memory,Gpu,OpSys,Weight
1,Inspiron 3552,Intel Celeron Dual Core N3060 1.6GHz,4,21675,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics,Linux,2.2kg
2,Chromebook 11,Intel Celeron Dual Core N3060 1.6GHz,4,23260,Netbook,11.6,1366x768,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.26kg
3,Inspiron 3552,Intel Celeron Dual Core N3060 1.60GHz,4,24364,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 400,Windows 10,1.8kg
4,Inspiron 3552,Intel Pentium Quad Core N3710 1.6GHz,4,25547,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics,Linux,2.2kg
5,Inspiron 3567,Intel Core i3 6006U 2.0GHz,4,28307,Notebook,15.6,1366x768,1TB HDD,Intel HD Graphics 520,Linux,2.25kg
6,Inspiron 3552,Intel Pentium Quad Core N3710 1.6GHz,4,29095,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics,Windows 10,2.2kg
7,Inspiron 3552,Intel Celeron Dual Core N3050 1.6GHz,2,29884,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics,Windows 10,2.20kg
8,Inspiron 3552,Intel Pentium Quad Core N3700 1.6GHz,4,31026,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics,Linux,2.2kg
9,Inspiron 3567,Intel Core i3 6006U 2GHz,4,33009,Notebook,15.6,1366x768,1TB HDD,Intel HD Graphics 520,Windows 10,2.3kg
10,Inspiron 3567,Intel Core i3 6006U 2.0GHz,4,33747,Notebook,15.6,Full HD 1920x1080,1TB HDD,AMD Radeon R5 M430,Linux,2.25kg
11,Inspiron 3567,Intel Core i3 7100U 2.4GHz,6,34615,Notebook,15.6,Touchscreen 1366x768,1TB HDD,Intel HD Graphics 620,Windows 10,2.3kg
12,Vostro 3568,Intel Core i3 6006U 2.0GHz,4,35001,Notebook,15.6,1366x768,1TB HDD,Intel HD Graphics 520,Linux,2.18kg
13,Inspiron 3552,Intel Pentium Quad Core N3700 1.6GHz,4,35008,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics,Windows 10,2.2kg
14,Inspiron 3567,Intel Core i3 6006U 2GHz,4,35403,Notebook,15.6,Full HD 1920x1080,1TB HDD,AMD Radeon R5 M430,Windows 10,2.2kg
15,Vostro 3568,Intel Core i3 6006U 2.0GHz,4,35931,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R5 M420X,Linux,2.18kg
16,Inspiron 3567,Intel Core i3 7100U 2.4GHz,8,36192,Notebook,15.6,1366x768,1TB HDD,Intel HD Graphics 620,Windows 10,2.3kg
17,Inspiron 3567,Intel Core i3 7100U 2.4GHz,6,36192,Notebook,15.6,1366x768,1TB HDD,Intel HD Graphics 620,Windows 10,2.3kg
18,Vostro 3568,Intel Core i3 6006U 2GHz,4,36665,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R5 M420,Linux,2.18kg
19,Inspiron 3567,Intel Core i3 6006U 2.0GHz,4,36714,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R5 M430,Linux,2.25kg
20,Inspiron 3567,Intel Core i3 7100U 2.4GHz,8,36981,Notebook,15.6,Touchscreen 1366x768,1TB HDD,Intel HD Graphics 620,Windows 10,2.3kg
21,Inspiron 3168,Intel Pentium Quad Core N3710 1.6GHz,4,37769,2 in 1 Convertible,11.6,Touchscreen 1366x768,500GB HDD,Intel HD Graphics 405,Windows 10,1.47kg
22,Latitude 3570,Intel Core i3 6100U 2.3GHz,4,38004,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 520,Windows 10,2.06kg
23,Inspiron 3567,Intel Core i3 6006U 2GHz,4,38242,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M430,Linux,2.2kg
24,Vostro 3568,Intel Core i3 6006U 2GHz,4,38636,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 520,Windows 10,2.29kg
25,Inspiron 3567,Intel Core i3 6006U 2GHz,4,39338,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg
26,Inspiron 5567,Intel Core i3 6006U 2.0GHz,4,39346,Notebook,15.6,1366x768,128GB SSD,AMD Radeon R7 M440,Windows 10,2.3kg
27,Inspiron 5578,Intel Core i3 7100U 2.4GHz,4,40134,2 in 1 Convertible,15,Full HD / Touchscreen 1920x1080,500GB HDD,Intel HD Graphics 620,Windows 10,2.08kg
28,Vostro 3568,Intel Core i5 7200U 2.5GHz,4,41148,Notebook,15.6,1366x768,1TB HDD,Intel HD Graphics 520,Linux,2.18kg
29,Latitude E5570,Intel Core i5 6200U 2.3GHz,4,41288,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 520,Linux,2.09kg
30,Inspiron 3567,Intel Core i5 7200U 2.5GHz,8,42575,Notebook,15.6,1366x768,1TB HDD,Intel HD Graphics 620,Windows 10,2.14kg
31,Inspiron 3567,Intel Core i3 6006U 2GHz,4,43026,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R5 M430,Windows 10,2.2kg
32,Vostro 3568,Intel Core i3 7100U 2.4GHz,4,43130,Notebook,15.6,1366x768,128GB SSD,Intel HD Graphics 620,Windows 10,2.18kg
33,Inspiron 3567,Intel Core i5 7200U 2.5GHz,8,43948,Notebook,15.6,Touchscreen 1366x768,2TB HDD,Intel HD Graphics 620,Windows 10,2.36kg
34,Vostro 3568,Intel Core i3 6006U 2.0GHz,4,44045,Notebook,15.6,1366x768,1TB HDD,Intel HD Graphics 520,Windows 10,2.18kg
35,Inspiron 3567,Intel Core i5 7200U 2.5GHz,4,44077,Notebook,15.6,Full HD 1920x1080,1TB HDD,Intel HD Graphics,Windows 10,2.25kg
36,Inspiron 3567,Intel Core i5 7200U 2.5GHz,8,44550,Notebook,15.6,Full HD 1920x1080,1TB HDD,AMD Radeon R5 M430,Windows 10,2.24kg
37,Vostro 3568,Intel Core i5 7200U 2.5GHz,4,44865,Notebook,15.6,Full HD 1920x1080,128GB SSD,AMD Radeon R5 M420,Linux,2.18kg
38,Inspiron 3567,Intel Core i5 7200U 2.5GHz,4,46127,Notebook,15.6,Full HD 1920x1080,500GB HDD,AMD Radeon R5 M430,Windows 10,2.3kg
39,Latitude 3480,Intel Core i3 6006U 2GHz,4,46127,Notebook,14,1366x768,500GB HDD,Intel HD Graphics 520,Windows 10,1.76kg
40,Vostro 3568,Intel Core i3 7100U 2.4GHz,4,46253,Notebook,15.6,1366x768,1TB HDD,Intel HD Graphics 620,Windows 10,2.18kg
41,Inspiron 5567,Intel Core i5 7200U 2.5GHz,8,46483,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R7 M445,Linux,2.32kg
42,Inspiron 3567,Intel Core i5 7200U 2.5GHz,4,47223,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M430,Linux,2.3kg
43,Inspiron 3567,Intel Core i5 7200U 2.5GHz,4,47231,Notebook,15.6,1366x768,500GB HDD,AMD Radeon R5 M430,Windows 10,2.25kg
44,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8,47302,Notebook,15.6,Full HD 1920x1080,1TB HDD,AMD Radeon R5 M430,Linux,2.2kg
45,Inspiron 3179,Intel Core M 7Y30 1.0GHz,4,47546,2 in 1 Convertible,11.6,Touchscreen 1366x768,128GB SSD,Intel HD Graphics 615,Windows 10,1.39kg
46,Vostro 3568,Intel Core i3 6006U 2.0GHz,4,48413,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R5 M420X,Windows 10,2.18kg
47,Vostro 3568,Intel Core i3 6006U 2GHz,4,48721,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R5 M420,Windows 10,2.18kg
48,Inspiron 5567,Intel Core i5 7200U 2.5GHz,8,50369,Notebook,15.6,Full HD 1920x1080,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36kg
49,Inspiron 5567,Intel Core i5 7200U 2.5GHz,8,50384,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36kg
50,Inspiron 3567,Intel Core i5 7200U 2.5GHz,4,50385,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M430,Windows 10,2.3kg
51,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8,51015,Notebook,15.6,Full HD 1920x1080,1TB HDD,AMD Radeon 520,Linux,2.2kg
52,Inspiron 5378,Intel Core i3 7100U 2.4GHz,4,51173,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,1TB HDD,Intel HD Graphics 620,Windows 10,1.71kg
53,Inspiron 3567,Intel Core i5 7200U 2.5GHz,12,51173,Notebook,15.6,1366x768,1TB HDD,Intel HD Graphics 620,Windows 10,2.25kg
54,Inspiron 5368,Intel Core i5 6200U 2.3GHz,8,51173,Notebook,13.3,Full HD / Touchscreen 1920x1080,1TB HDD,Intel HD Graphics 520,Windows 10,1.62kg
55,Vostro 3568,Intel Core i5 7200U 2.5GHz,4,51804,Notebook,15.6,Full HD 1920x1080,1TB HDD,Intel HD Graphics 620,Windows 10,2.18kg
56,Inspiron 5379,Intel Core i5 8250U 1.6GHz,8,51962,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,1TB HDD,Intel UHD Graphics 620,Windows 10,1.55kg
57,Insprion 5767,Intel Core i3 6006U 2.0GHz,4,51962,Notebook,17.3,1600x900,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36kg
58,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,52277,Ultrabook,15.6,Full HD 1920x1080,1TB HDD,AMD Radeon 530,Windows 10,1.9kg
59,Vostro 3568,Intel Core i3 6006U 2GHz,8,52435,Notebook,15.6,1366x768,256GB SSD,Intel HD Graphics 520,Windows 10,2kg
60,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8,53223,Notebook,15.6,Full HD 1920x1080,1TB HDD,AMD Radeon 520,Windows 10,2.2kg
61,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8,53409,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 520,Linux,2.2kg
62,Vostro 3568,Intel Core i5 7200U 2.5GHz,4,54011,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R5 M420,Windows 10,2.18kg
63,Latitude 3380,Intel Core i3 6006U 2GHz,4,54327,Notebook,13.3,1366x768,128GB SSD,Intel HD Graphics 520,Windows 10,1.65kg
64,Vostro 3568,Intel Core i5 7200U 2.5GHz,4,55830,Notebook,15.6,1366x768,1TB HDD,Intel HD Graphics 620,Windows 10,2.18kg
65,Inspiron 5567,Intel Core i7 7500U 2.7GHz,12,56225,Notebook,15.6,1366x768,1TB HDD,Intel HD Graphics 620,Windows 10,2.3kg
66,Vostro 3568,Intel Core i5 7200U 2.5GHz,8,56298,Notebook,15.6,1366x768,128GB SSD,Intel HD Graphics 620,Windows 10,2.18kg
67,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,56693,Notebook,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.2kg
68,Vostro 5568,Intel Core i5 7200U 2.5GHz,8,57245,Notebook,15.6,Full HD 1920x1080,1TB HDD,Intel HD Graphics 620,Linux,1.98kg
69,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8,57402,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 520,Windows 10,2.13kg
70,Latitude 3580,Intel Core i5 6200U 2.3GHz,4,57552,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 520,Windows 10,1.95kg
71,Inspiron 3576,Intel Core i7 8550U 1.8GHz,8,57960,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 520,Linux,2.14kg
72,Vostro 5468,Intel Core i3 6006U 2GHz,4,58023,Notebook,14,Full HD 1920x1080,128GB SSD,Intel HD Graphics 520,Windows 10,1.6kg
73,Vostro 3559,Intel Core i5 6200U 2.3GHz,4,58112,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 520,Windows 7,2.24kg
74,Vostro 5568,Intel Core i3 6006U 2GHz,8,58270,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M420X,Windows 10,2kg
75,Vostro 3568,Intel Core i7 7500U 2.7GHz,4,58270,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M420,Windows 10,2.18kg
76,Latitude E5470,Intel Core i3 6100U 2.3GHz,8,58349,Notebook,14,1366x768,128GB SSD,Intel HD Graphics 520,Windows 10,1.79kg
77,Latitude 3180,Intel Pentium Quad Core N4200 1.1GHz,4,58664,Netbook,11.6,1366x768,128GB SSD,Intel HD Graphics 505,Windows 10,1.63kg
78,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8,58743,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg
79,Inspiron 5570,Intel Core i5 8250U 1.6GHz,4,59058,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,2.2kg
80,Inspiron 5567,Intel Core i7 7500U 2.7GHz,8,59058,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36kg
81,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8,59059,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M430,Linux,2.2kg
82,Vostro 3568,Intel Core i5 7200U 2.5GHz,8,59137,Notebook,15.6,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,2.18kg
83,Latitude 3480,Intel Core i5 6200U 2.3GHz,4,59531,Notebook,14,1366x768,500GB HDD,Intel HD Graphics 520,Windows 10,1.76kg
84,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,59847,Notebook,15.6,Full HD 1920x1080,2TB HDD,AMD Radeon 530,Windows 10,2.02kg
85,Inspiron 3576,Intel Core i7 8550U 1.8GHz,8,60541,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 520,Windows 10,2.13kg
86,Vostro 3559,Intel Core i5 6200U 2.3GHz,4,60647,Notebook,15.6,1366x768,500GB HDD,AMD Radeon R5 M315,Windows 7,2.24kg
87,Inspiron 5570,Intel Core i5 8250U 1.6GHz,4,61187,Notebook,15.6,Full HD 1920x1080,1TB HDD,AMD Radeon 530,Windows 10,2.2kg
88,Inspiron 5567,Intel Core i7 7500U 2.7GHz,8,61413,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R7 M445,Linux,2.33kg
89,Inspiron 5567,Intel Core i5 7200U 2.5GHz,8,61818,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R7 M445,Windows 10,2.5kg
90,Vostro 3568,Intel Core i5 7200U 2.5GHz,8,62276,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M420,Windows 10,2.18kg
91,Vostro 5568,Intel Core i5 7200U 2.5GHz,8,62685,Notebook,15.6,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,2.18kg
92,Inspiron 5568,Intel Core i3 6100U 2.3GHz,4,62763,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,1TB HDD,Intel HD Graphics 520,Windows 10,2.08kg
93,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,62875,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,2.2kg
94,Inspiron 5368,Intel Core i7 6500U 2.5GHz,8,62923,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,256GB SSD,Intel HD Graphics 520,Windows 10,1.62kg
95,Inspiron 5579,Intel Core i5 8250U 1.6GHz,8,63001,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,2.67kg
96,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,63080,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,2.2kg
97,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8,63552,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R5 M430,Linux,2.3kg
98,Latitude 3580,Intel Core i5 7200U 2.5GHz,8,63868,Notebook,15.6,1366x768,128GB SSD,Intel HD Graphics 620,Windows 10,1.95kg
99,Inspiron 5370,Intel Core i5 8250U 1.6GHz,4,64526,Ultrabook,13.3,IPS Panel Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,1.4kg
100,Inspiron 5379,Intel Core i5 8250U 1.6GHz,8,64578,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62kg
101,Inspiron 5579,Intel Core i7 8550U 1.8GHz,8,64578,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,1TB HDD,Intel UHD Graphics 620,Windows 10,2.08kg
102,Inspiron 5577,Intel Core i5 7300HQ 2.5GHz,8,64578,Gaming,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.56kg
103,Latitude 5580,Intel Core i5 7200U 2.5GHz,4,65051,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 620,Windows 10,1.9kg
104,Vostro 5568,Intel Core i5 7200U 2.5GHz,8,65918,Notebook,15.6,Full HD 1920x1080,1TB HDD,Intel HD Graphics 620,Windows 10,2.18kg
105,Inspiron 5379,Intel Core i7 8550U 1.8GHz,8,66155,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,1TB HDD,Intel UHD Graphics 620,Windows 10,1.62kg
106,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,66549,Notebook,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.33kg
107,Latitude 3380,Intel Core i3 6006U 2GHz,4,66943,Notebook,13.3,1366x768,500GB HDD,Intel HD Graphics 520,Windows 10,1.65kg
108,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,67416,Notebook,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10,2.02kg
109,Vostro 5468,Intel Core i5 7200U 2.5GHz,8,67732,Notebook,14,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.6kg
110,Inspiron 5567,Intel Core i7 7500U 2.7GHz,16,67732,Notebook,15.6,Full HD / Touchscreen 1920x1080,1TB HDD,AMD Radeon R7 M445,Windows 10,2.3kg
111,Inspiron 5767,Intel Core i7 7500U 2.7GHz,8,68205,Notebook,17.3,Full HD 1920x1080,1TB HDD,AMD Radeon R7 M445,Linux,2.83kg
112,Latitude 5580,Intel Core i5 7300U 2.6GHz,4,68520,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 620,Linux,1.93kg
113,Inspiron 5379,Intel Core i7 8550U 1.8GHz,8,68521,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62kg
114,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,68599,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,2.2kg
115,Latitude 5480,Intel Core i5 7200U 2.5GHz,4,68993,Notebook,14,1366x768,500GB HDD,Intel HD Graphics 620,Windows 10,1.6kg
116,Vostro 5471,Intel Core i5 8250U 1.6GHz,8,69309,Ultrabook,14,Full HD 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.7kg
117,Inspiron 5577,Intel Core i5 7300HQ 2.5GHz,8,69309,Gaming,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.56kg
118,Inspiron 7559,Intel Core i7 6700HQ 2.6GHz,16,69309,Gaming,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 960<U+039C>,Windows 10,2.59kg
119,Inspiron 5770,Intel Core i5 8250U 1.6GHz,8,70097,Notebook,17.3,IPS Panel Full HD 1920x1080,128GB SSD +  1TB HDD,AMD Radeon 530,Linux,2.8kg
120,Inspiron 5378,Intel Core i5 7200U 2.5GHz,8,70097,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.68kg
121,Inspiron 5567,Intel Core i5 7200U 2.5GHz,8,70097,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R7 M445,Windows 10,2.36kg
122,Vostro 5568,Intel Core i7 7500U 2.7GHz,8,70571,Notebook,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce GT 940MX,Linux,1.98kg
123,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,8,70886,Gaming,15.6,Full HD 1920x1080,1.0TB Hybrid,Nvidia GeForce GTX 1050,Windows 10,2.62kg
124,Inspiron 5567,Intel Core i7 7500U 2.7GHz,16,70886,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R7 M445,Linux,2.36kg
125,Inspiron 5567,Intel Core i7 7500U 2.7GHz,8,70886,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R7 M445,Windows 10,2.33kg
126,XPS 13,Intel Core i5 7200U 2.5GHz,8,70886,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,128GB SSD,Intel HD Graphics 620,Windows 10,1.29kg
127,Vostro 5568,Intel Core i5 7200U 2.5GHz,4,71950,Notebook,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.18kg
128,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,72463,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,2.2kg
129,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,8,73251,Gaming,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 1050Ti,Linux,2.62kg
130,Inspiron 5370,Intel Core i7 8550U 1.8GHz,8,73478,Ultrabook,13.3,IPS Panel Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,1.4kg
131,Latitude 5580,Intel Core i5 7300U 2.6GHz,8,73724,Notebook,15.6,Full HD 1920x1080,500GB HDD,Intel HD Graphics 620,Windows 10,1.9kg
132,Latitude 5580,Intel Core i5 7200U 2.5GHz,8,74513,Notebook,15.6,Full HD 1920x1080,128GB SSD,Intel HD Graphics 620,Windows 10,1.9kg
133,Vostro 5370,Intel Core i5 8250U 1.6GHz,8,74828,Ultrabook,13.3,Full HD 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.41kg
134,Inspiron 7567,Intel Core i5 7300HQ 2.5GHz,8,74828,Gaming,15.6,Full HD 1920x1080,1.0TB Hybrid,Nvidia GeForce GTX 1050,Windows 10,2.65kg
135,Inspiron 5370,Intel Core i7 8550U 1.8GHz,8,75301,Ultrabook,13.3,IPS Panel Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,1.4kg
136,Latitude 3580,Intel Core i5 7200U 2.5GHz,8,75301,Notebook,15.6,Full HD 1920x1080,1TB HDD,Intel HD Graphics 620,Windows 10,2.06kg
137,Latitude 5580,Intel Core i5 7300U 2.6GHz,4,75617,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 620,Windows 10,1.93kg
138,Vostro 5568,Intel Core i7 7500U 2.7GHz,8,75774,Notebook,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GT 940MX,Windows 10,1.98kg
139,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,76555,Notebook,15.6,Full HD 1920x1080,128GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.02kg
140,XPS 13,Intel Core i5 8250U 1.6GHz,8,77194,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22kg
141,Inspiron 5770,Intel Core i5 8250U 1.6GHz,8,77194,Notebook,17.3,IPS Panel Full HD 1920x1080,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg
142,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,77194,Notebook,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.36kg
143,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,77667,Notebook,15.6,Full HD 1920x1080,128GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.2kg
144,Inspiron 7567,Intel Core i5 7300HQ 2.5GHz,8,77667,Gaming,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.62kg
145,Inspiron 5567,Intel Core i7 7500U 2.7GHz,16,78060,Notebook,15.6,Full HD 1920x1080,2TB HDD,AMD Radeon R7 M445,Windows 10,2.32kg
146,Inspiron 7773,Intel Core i5 8250U 1.6GHz,12,78771,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,1TB HDD,Nvidia GeForce 150MX,Windows 10,2.77kg
147,Inspiron 7577,Intel Core i5 7300HQ 2.5GHz,8,78771,Gaming,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.65kg
148,Inspiron 7579,Intel Core i5 7200U 2.5GHz,8,78771,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,2.191kg
149,Latitude 5580,Intel Core i5 7300U 2.6GHz,8,79521,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 620,Windows 10,1.9kg
150,Vostro 5568,Intel Core i7 7500U 2.7GHz,8,79630,Notebook,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce 940MX,Windows 10,2.18kg
151,Latitude E5570,Intel Core i5 6300U 2.4GHz,8,82511,Notebook,15.6,Full HD 1920x1080,500GB HDD,Intel HD Graphics 520,Windows 10,2.09kg
152,Inspiron 5579,Intel Core i7 8550U 1.8GHz,8,82713,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.56kg
