Id,Product,Cpu,Ram,Price,TypeName,Inches,ScreenResolution,Memory,Gpu,OpSys,Weight,Performance,Speed,Priority,Mouse,Keyboard,Headset
81,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8,59059,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M430,Linux,2.2kg,125,8,336,WM126 optical red,KB216 ,UC300 with Mic
75,Vostro 3568,Intel Core i7 7500U 2.7GHz,4,58270,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M420,Windows 10,2.18kg,125,4,336,WM126 optical red,KB216 ,UC300 with Mic
65,Inspiron 5567,Intel Core i7 7500U 2.7GHz,12,56225,Notebook,15.6,1366x768,1TB HDD,Intel HD Graphics 620,Windows 10,2.3kg,125,12,336,WM118 optical,KB216 ,UC300 with Mic
78,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8,58743,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg,125,8,336,WM126 optical red,KB216 ,UC300 with Mic
97,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8,63552,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R5 M430,Linux,2.3kg,125,8,336,MS116 optical,KB216 ,UC150 with Mic
80,Inspiron 5567,Intel Core i7 7500U 2.7GHz,8,59058,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36kg,125,8,336,WM126 optical red,KB216 ,UC300 with Mic
71,Inspiron 3576,Intel Core i7 8550U 1.8GHz,8,57960,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 520,Linux,2.14kg,134,8,336,WM126 optical red,KB216 ,UC300 with Mic
85,Inspiron 3576,Intel Core i7 8550U 1.8GHz,8,60541,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 520,Windows 10,2.13kg,134,8,336,MS116 optical,WD4XO,UC150 with Mic
108,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,67416,Notebook,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10,2.02kg,134,8,336,MS111 optical,KB216 ,UC150 with Mic
114,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,68599,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,134,8,336,MS111 optical,KB216 ,UC150 with Mic
88,Inspiron 5567,Intel Core i7 7500U 2.7GHz,8,61413,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R7 M445,Linux,2.33kg,125,8,336,MS116 optical,WD4XO,UC150 with Mic
105,Inspiron 5379,Intel Core i7 8550U 1.8GHz,8,66155,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,1TB HDD,Intel UHD Graphics 620,Windows 10,1.62kg,134,8,339,MS111 optical,KB216 ,UC150 with Mic
113,Inspiron 5379,Intel Core i7 8550U 1.8GHz,8,68521,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62kg,134,8,339,MS111 optical,KB216 ,UC150 with Mic
101,Inspiron 5579,Intel Core i7 8550U 1.8GHz,8,64578,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,1TB HDD,Intel UHD Graphics 620,Windows 10,2.08kg,134,8,339,MS116 optical,KB216 ,UC150 with Mic
117,Inspiron 5577,Intel Core i5 7300HQ 2.5GHz,8,69309,Gaming,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.56kg,99,8,341,MS111 optical,KB216 ,UC150 with Mic
58,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,52277,Ultrabook,15.6,Full HD 1920x1080,1TB HDD,AMD Radeon 530,Windows 10,1.9kg,105,8,341,WM118 optical,KB216 ,UC300 with Mic
118,Inspiron 7559,Intel Core i7 6700HQ 2.6GHz,16,69309,Gaming,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 960,Windows 10,2.59kg,120,16,341,MS111 optical,KB216 ,UC150 with Mic
102,Inspiron 5577,Intel Core i5 7300HQ 2.5GHz,8,64578,Gaming,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.56kg,99,8,341,MS116 optical,KB216 ,UC150 with Mic
64,Vostro 3568,Intel Core i5 7200U 2.5GHz,4,55830,Notebook,15.6,1366x768,1TB HDD,Intel HD Graphics 620,Windows 10,2.18kg,96,4,343,WM118 optical,KB216 ,UC300 with Mic
68,Vostro 5568,Intel Core i5 7200U 2.5GHz,8,57245,Notebook,15.6,Full HD 1920x1080,1TB HDD,Intel HD Graphics 620,Linux,1.98kg,96,8,343,WM126 optical red,KB216 ,UC300 with Mic
61,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8,53409,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 520,Linux,2.2kg,105,8,343,WM118 optical,KB216 ,UC300 with Mic
60,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8,53223,Notebook,15.6,Full HD 1920x1080,1TB HDD,AMD Radeon 520,Windows 10,2.2kg,105,8,343,WM118 optical,KB216 ,UC300 with Mic
48,Inspiron 5567,Intel Core i5 7200U 2.5GHz,8,50369,Notebook,15.6,Full HD 1920x1080,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36kg,96,8,343,WM118 optical,KB216 ,UC300 with Mic
49,Inspiron 5567,Intel Core i5 7200U 2.5GHz,8,50384,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36kg,96,8,343,WM118 optical,KB216 ,UC300 with Mic
50,Inspiron 3567,Intel Core i5 7200U 2.5GHz,4,50385,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M430,Windows 10,2.3kg,96,4,343,WM118 optical,KB216 ,UC300 with Mic
51,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8,51015,Notebook,15.6,Full HD 1920x1080,1TB HDD,AMD Radeon 520,Linux,2.2kg,105,8,343,WM118 optical,KB216 ,UC300 with Mic
53,Inspiron 3567,Intel Core i5 7200U 2.5GHz,12,51173,Notebook,15.6,1366x768,1TB HDD,Intel HD Graphics 620,Windows 10,2.25kg,96,12,343,WM118 optical,KB216 ,UC300 with Mic
62,Vostro 3568,Intel Core i5 7200U 2.5GHz,4,54011,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R5 M420,Windows 10,2.18kg,96,4,343,WM118 optical,KB216 ,UC300 with Mic
66,Vostro 3568,Intel Core i5 7200U 2.5GHz,8,56298,Notebook,15.6,1366x768,128GB SSD,Intel HD Graphics 620,Windows 10,2.18kg,96,8,343,WM118 optical,KB216 ,UC300 with Mic
55,Vostro 3568,Intel Core i5 7200U 2.5GHz,4,51804,Notebook,15.6,Full HD 1920x1080,1TB HDD,Intel HD Graphics 620,Windows 10,2.18kg,96,4,343,WM118 optical,KB216 ,UC300 with Mic
54,Inspiron 5368,Intel Core i5 6200U 2.3GHz,8,51173,Notebook,13.3,Full HD / Touchscreen 1920x1080,1TB HDD,Intel HD Graphics 520,Windows 10,1.62kg,90,8,343,WM118 optical,KB216 ,UC300 with Mic
84,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,59847,Notebook,15.6,Full HD 1920x1080,2TB HDD,AMD Radeon 530,Windows 10,2.02kg,105,8,343,WM126 optical red,KB216 ,UC300 with Mic
82,Vostro 3568,Intel Core i5 7200U 2.5GHz,8,59137,Notebook,15.6,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,2.18kg,96,8,343,WM126 optical red,KB216 ,UC300 with Mic
67,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,56693,Notebook,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.2kg,105,8,343,WM126 optical red,KB216 ,UC300 with Mic
79,Inspiron 5570,Intel Core i5 8250U 1.6GHz,4,59058,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,105,4,343,WM126 optical red,KB216 ,UC300 with Mic
69,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8,57402,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 520,Windows 10,2.13kg,105,8,343,WM126 optical red,KB216 ,UC300 with Mic
56,Inspiron 5379,Intel Core i5 8250U 1.6GHz,8,51962,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,1TB HDD,Intel UHD Graphics 620,Windows 10,1.55kg,105,8,346,WM118 optical,KB216 ,UC300 with Mic
107,Latitude 3380,Intel Core i3 6006U 2GHz,4,66943,Notebook,13.3,1366x768,500GB HDD,Intel HD Graphics 520,Windows 10,1.65kg,72,4,347,MS111 optical,KB216 ,UC150 with Mic
73,Vostro 3559,Intel Core i5 6200U 2.3GHz,4,58112,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 520,Windows 7,2.24kg,90,4,347,WM126 optical red,KB216 ,UC300 with Mic
86,Vostro 3559,Intel Core i5 6200U 2.3GHz,4,60647,Notebook,15.6,1366x768,500GB HDD,AMD Radeon R5 M315,Windows 7,2.24kg,90,4,347,MS116 optical,WD4XO,UC150 with Mic
83,Latitude 3480,Intel Core i5 6200U 2.3GHz,4,59531,Notebook,14.0,1366x768,500GB HDD,Intel HD Graphics 520,Windows 10,1.76kg,90,4,347,WM126 optical red,KB216 ,UC300 with Mic
70,Latitude 3580,Intel Core i5 6200U 2.3GHz,4,57552,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 520,Windows 10,1.95kg,90,4,347,WM126 optical red,KB216 ,UC300 with Mic
99,Inspiron 5370,Intel Core i5 8250U 1.6GHz,4,64526,Ultrabook,13.3,IPS Panel Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,1.4kg,105,4,349,MS116 optical,KB216 ,UC150 with Mic
116,Vostro 5471,Intel Core i5 8250U 1.6GHz,8,69309,Ultrabook,14.0,Full HD 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.7kg,105,8,349,MS111 optical,KB216 ,UC150 with Mic
57,Insprion 5767,Intel Core i3 6006U 2.0GHz,4,51962,Notebook,17.3,1600x900,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36kg,73,4,350,WM118 optical,KB216 ,UC300 with Mic
63,Latitude 3380,Intel Core i3 6006U 2GHz,4,54327,Notebook,13.3,1366x768,128GB SSD,Intel HD Graphics 520,Windows 10,1.65kg,72,4,350,WM118 optical,KB216 ,UC300 with Mic
59,Vostro 3568,Intel Core i3 6006U 2GHz,8,52435,Notebook,15.6,1366x768,256GB SSD,Intel HD Graphics 520,Windows 10,2kg,72,8,350,WM118 optical,KB216 ,UC300 with Mic
77,Latitude 3180,Intel Pentium Quad Core N4200 1.1GHz,4,58664,Netbook,11.6,1366x768,128GB SSD,Intel HD Graphics 505,Windows 10,1.63kg,50,4,350,WM126 optical red,KB216 ,UC300 with Mic
76,Latitude E5470,Intel Core i3 6100U 2.3GHz,8,58349,Notebook,14.0,1366x768,128GB SSD,Intel HD Graphics 520,Windows 10,1.79kg,75,8,350,WM126 optical red,KB216 ,UC300 with Mic
74,Vostro 5568,Intel Core i3 6006U 2GHz,8,58270,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M420X,Windows 10,2kg,72,8,350,WM126 optical red,KB216 ,UC300 with Mic
72,Vostro 5468,Intel Core i3 6006U 2GHz,4,58023,Notebook,14.0,Full HD 1920x1080,128GB SSD,Intel HD Graphics 520,Windows 10,1.6kg,72,4,350,WM126 optical red,KB216 ,UC300 with Mic
92,Inspiron 5568,Intel Core i3 6100U 2.3GHz,4,62763,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,1TB HDD,Intel HD Graphics 520,Windows 10,2.08kg,75,4,350,MS116 optical,WD4XO,UC150 with Mic
87,Inspiron 5570,Intel Core i5 8250U 1.6GHz,4,61187,Notebook,15.6,Full HD 1920x1080,1TB HDD,AMD Radeon 530,Windows 10,2.2kg,105,4,351,MS116 optical,WD4XO,UC150 with Mic
89,Inspiron 5567,Intel Core i5 7200U 2.5GHz,8,61818,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R7 M445,Windows 10,2.5kg,96,8,351,MS116 optical,WD4XO,UC150 with Mic
90,Vostro 3568,Intel Core i5 7200U 2.5GHz,8,62276,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M420,Windows 10,2.18kg,96,8,351,MS116 optical,WD4XO,UC150 with Mic
91,Vostro 5568,Intel Core i5 7200U 2.5GHz,8,62685,Notebook,15.6,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,2.18kg,96,8,351,MS116 optical,WD4XO,UC150 with Mic
93,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,62875,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,105,8,351,MS116 optical,WD4XO,UC150 with Mic
96,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,63080,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,105,8,351,MS116 optical,WD4XO,UC150 with Mic
98,Latitude 3580,Intel Core i5 7200U 2.5GHz,8,63868,Notebook,15.6,1366x768,128GB SSD,Intel HD Graphics 620,Windows 10,1.95kg,96,8,351,MS116 optical,KB216 ,UC150 with Mic
115,Latitude 5480,Intel Core i5 7200U 2.5GHz,4,68993,Notebook,14.0,1366x768,500GB HDD,Intel HD Graphics 620,Windows 10,1.6kg,96,4,351,MS111 optical,KB216 ,UC150 with Mic
103,Latitude 5580,Intel Core i5 7200U 2.5GHz,4,65051,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 620,Windows 10,1.9kg,96,4,351,MS111 optical,KB216 ,UC150 with Mic
104,Vostro 5568,Intel Core i5 7200U 2.5GHz,8,65918,Notebook,15.6,Full HD 1920x1080,1TB HDD,Intel HD Graphics 620,Windows 10,2.18kg,96,8,351,MS111 optical,KB216 ,UC150 with Mic
106,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8,66549,Notebook,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.33kg,105,8,351,MS111 optical,KB216 ,UC150 with Mic
109,Vostro 5468,Intel Core i5 7200U 2.5GHz,8,67732,Notebook,14.0,Full HD 1920x1080,256GB SSD,Intel HD Graphics 620,Windows 10,1.6kg,96,8,351,MS111 optical,KB216 ,UC150 with Mic
110,Inspiron 5567,Intel Core i7 7500U 2.7GHz,16,67732,Notebook,15.6,Full HD / Touchscreen 1920x1080,1TB HDD,AMD Radeon R7 M445,Windows 10,2.3kg,125,16,351,MS111 optical,KB216 ,UC150 with Mic
111,Inspiron 5767,Intel Core i7 7500U 2.7GHz,8,68205,Notebook,17.3,Full HD 1920x1080,1TB HDD,AMD Radeon R7 M445,Linux,2.83kg,125,8,351,MS111 optical,KB216 ,UC150 with Mic
112,Latitude 5580,Intel Core i5 7300U 2.6GHz,4,68520,Notebook,15.6,1366x768,500GB HDD,Intel HD Graphics 620,Linux,1.93kg,100,4,351,MS111 optical,KB216 ,UC150 with Mic
52,Inspiron 5378,Intel Core i3 7100U 2.4GHz,4,51173,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,1TB HDD,Intel HD Graphics 620,Windows 10,1.71kg,76,4,353,WM118 optical,KB216 ,UC300 with Mic
94,Inspiron 5368,Intel Core i7 6500U 2.5GHz,8,62923,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,256GB SSD,Intel HD Graphics 520,Windows 10,1.62kg,117,8,354,MS116 optical,WD4XO,UC150 with Mic
95,Inspiron 5579,Intel Core i5 8250U 1.6GHz,8,63001,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,2.67kg,105,8,354,MS116 optical,WD4XO,UC150 with Mic
100,Inspiron 5379,Intel Core i5 8250U 1.6GHz,8,64578,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62kg,105,8,354,MS116 optical,KB216 ,UC150 with Mic
247,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,16,145478,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65kg,130,16,441,MS111 optical,KB216 ,UC150 with Mic
177,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,8,91387,Gaming,15.6,IPS Panel Full HD 1920x1080,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62kg,130,8,441,MS111 optical,KB216 ,UC300 with Mic
184,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,8,94541,Gaming,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 1050Ti,Windows 10,2.62kg,130,8,441,MS111 optical,KB216 ,UC300 with Mic
190,Inspiron 5577,Intel Core i7 7700HQ 2.8GHz,16,98504,Gaming,15.6,Full HD 1920x1080,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.56kg,130,16,441,WM118 optical,KB216 ,UC300 with Mic
200,Alienware 15,Intel Core i7 6700HQ 2.6GHz,16,104791,Gaming,15.6,4K Ultra HD 3840x2160,256GB SSD +  1TB HDD,Nvidia GeForce GTX 970M,Windows 10,3.21kg,120,16,441,MS116 optical,WD4XO,UC150 with Mic
201,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,16,106368,Gaming,15.6,IPS Panel Full HD 1920x1080,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65kg,130,16,441,MS116 optical,WD4XO,UC150 with Mic
202,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,16,106368,Gaming,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.6kg,130,16,441,MS116 optical,WD4XO,UC150 with Mic
165,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,8,86656,Gaming,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62kg,130,8,441,MS111 optical,KB216 ,UC150 with Mic
164,Inspiron 7559,Intel Core i7 6700HQ 2.6GHz,16,86656,Gaming,15.6,IPS Panel Touchscreen / 4K Ultra HD 3840x2160,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows 10,2.72kg,120,16,441,MS111 optical,KB216 ,UC150 with Mic
219,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,16,116619,Gaming,15.6,Full HD 1920x1080,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62kg,130,16,441,MS116 optical,WD4XO,UC150 with Mic
220,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,8,118117,Gaming,15.6,4K Ultra HD 3840x2160,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62kg,130,8,441,MS116 optical,WD4XO,UC150 with Mic
147,Inspiron 7577,Intel Core i5 7300HQ 2.5GHz,8,78771,Gaming,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.65kg,99,8,441,WM118 optical,DE-KB-2234,UC300 with Mic
290,Alienware 17,Intel Core i7 7700HQ 2.8GHz,32,282976,Gaming,17.3,IPS Panel Full HD 1920x1080,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070M,Windows 10,4.42kg,130,32,441,MS111 optical,KB216 ,UC300 with Mic
221,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,16,118196,Gaming,15.6,IPS Panel Full HD 1920x1080,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65kg,130,16,441,MS116 optical,WD4XO,UC150 with Mic
144,Inspiron 7567,Intel Core i5 7300HQ 2.5GHz,8,77667,Gaming,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.62kg,99,8,441,WM118 optical,DE-KB-2234,UC300 with Mic
234,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,16,132389,Gaming,15.6,4K Ultra HD 3840x2160,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62kg,130,16,441,MS111 optical,KB216 ,UC150 with Mic
129,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,8,73251,Gaming,15.6,Full HD 1920x1080,1TB HDD,Nvidia GeForce GTX 1050Ti,Linux,2.62kg,130,8,441,MS111 optical,KB216 ,UC300 with Mic
123,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,8,70886,Gaming,15.6,Full HD 1920x1080,1.0TB Hybrid,Nvidia GeForce GTX 1050,Windows 10,2.62kg,130,8,441,MS111 optical,KB216 ,UC300 with Mic
155,Inspiron 5577,Intel Core i7 7700HQ 2.8GHz,8,83619,Gaming,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.56kg,130,8,441,MS116 optical,WD4XO,UC150 with Mic
134,Inspiron 7567,Intel Core i5 7300HQ 2.5GHz,8,74828,Gaming,15.6,Full HD 1920x1080,1.0TB Hybrid,Nvidia GeForce GTX 1050,Windows 10,2.65kg,99,8,441,MS111 optical,KB216 ,UC300 with Mic
291,Alienware 17,Intel Core i7 7700HQ 2.8GHz,32,288543,Gaming,17.3,4K Ultra HD 3840x2160,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.36kg,130,32,441,MS111 optical,KB216 ,UC300 with Mic
183,Inspiron 7577,Intel Core i5 7300HQ 2.5GHz,8,94225,Gaming,15.6,Full HD 1920x1080,256GB SSD,Nvidia GeForce GTX 1060,Windows 10,2.65kg,99,8,441,MS111 optical,KB216 ,UC300 with Mic
280,Alienware 17,Intel Core i7 6700HQ 2.6GHz,32,220780,Gaming,17.3,Full HD 1920x1080,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg,120,32,441,MS111 optical,KB216 ,UC150 with Mic
286,Alienware 17,Intel Core i7 7700HQ 2.8GHz,32,242297,Gaming,17.3,IPS Panel Full HD 1920x1080,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg,130,32,441,MS111 optical,KB216 ,UC150 with Mic
272,Alienware 17,Intel Core i7 7700HQ 2.8GHz,16,197520,Gaming,17.3,IPS Panel Full HD 1920x1080,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.36kg,130,16,441,MS111 optical,KB216 ,UC150 with Mic
270,Alienware 17,Intel Core i7 7700HQ 2.8GHz,16,193682,Gaming,17.3,IPS Panel Full HD 1920x1080,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.42kg,130,16,441,MS111 optical,KB216 ,UC150 with Mic
